"Height","Phos","Potas","Sulf","Planting","Type","Temp","Quality"
25.9,74,0,40,2022-03-28,"Dendrobium",18.7,7
10.6,77,0,33,2022-03-28,"Cattleya",21.9,8
9.2,62,286,35,2022-04-06,"Cattleya",21.8,7
14.8,82,278,34,2022-03-31,"Miltoniopsis",18.4,7
6.7,87,280,0,2022-03-21,"Paphiopedalum",22.1,8
24.4,68,266,38,2022-03-23,"Vanda",26.8,6
3.2,0,296,38,2022-03-27,"Odontoglossum",18.8,7
8.9,79,0,38,2022-03-17,"Cattleya",21.9,8
15.9,86,269,37,2022-03-25,"Phalaenopsis",24.1,9
13.9,93,0,0,2022-03-20,"Phalaenopsis",23.8,8
12.5,77,261,37,2022-04-08,"Cymbidium",18.6,9
17.9,65,281,39,2022-03-28,"Phalaenopsis",25.8,6
19.6,0,253,37,2022-03-08,"Cambria",22.4,5
6.5,82,260,38,2022-04-08,"Paphiopedalum",20.2,2
7.2,95,276,38,2022-03-18,"Paphiopedalum",20.7,4
7.5,89,302,33,2022-04-08,"Paphiopedalum",19.9,4
3.5,83,249,32,2022-03-31,"Odontoglossum",18.6,6
19.9,85,297,35,2022-03-17,"Vanda",26.2,7
2.7,85,268,32,2022-04-15,"Odontoglossum",17,6
12.8,69,279,39,2022-03-28,"Cymbidium",17.6,7
7.6,72,286,36,2022-03-15,"Paphiopedalum",20,10
14,80,298,35,2022-03-07,"Phalaenopsis",25.7,8
15.8,67,290,37,2022-03-12,"Cymbidium",18.4,5
7.8,82,287,41,2022-03-18,"Cattleya",22.6,5
22.9,76,292,37,2022-04-02,"Vanda",25.5,8
16,73,263,32,2022-03-14,"Cymbidium",17.8,3
6.7,72,299,36,2022-03-20,"Paphiopedalum",22.2,7
12,68,0,31,2022-03-31,"Cymbidium",18.3,8
13,65,311,40,2022-04-15,"Cymbidium",17.9,7
15.1,62,0,38,2022-04-08,"Miltoniopsis",18.7,2
7,75,271,33,2022-03-21,"Cattleya",19.7,8
30.4,61,252,35,2022-03-26,"Dendrobium",19.1,8
7.1,0,0,34,2022-03-29,"Paphiopedalum",21.8,6
3,98,288,33,2022-03-16,"Odontoglossum",17.4,6
9.1,66,276,37,2022-03-28,"Cattleya",21.9,10
19.4,97,279,0,2022-04-16,"Vanda",24.6,5
6.8,101,303,41,2022-04-02,"Oncidium",21,5
14.7,0,281,34,2022-04-08,"Cambria",20.4,7
12.1,0,283,35,2022-03-29,"Phalaenopsis",23.2,7
14.1,94,255,34,2022-03-09,"Miltoniopsis",18.3,6
22,68,274,39,2022-04-04,"Vanda",28.4,5
10,0,268,33,2022-03-18,"Cattleya",19.7,7
16.2,65,286,38,2022-04-13,"Miltoniopsis",18.1,2
6.6,60,0,36,2022-04-05,"Paphiopedalum",20.1,7
7.3,89,338,38,2022-03-17,"Oncidium",21.7,10
3.2,77,274,32,2022-03-17,"Odontoglossum",17.9,8
7.7,74,297,35,2022-03-04,"Cattleya",20.2,7
15.6,83,283,42,2022-03-12,"Cymbidium",16.8,4
15.1,81,290,33,2022-04-06,"Cambria",19.8,9
29,90,0,39,2022-03-10,"Dendrobium",20.5,4
14.4,75,244,37,2022-03-14,"Phalaenopsis",25.2,9
5.7,86,314,40,2022-03-10,"Paphiopedalum",21.1,8
15.1,94,296,0,2022-03-18,"Phalaenopsis",26.7,4
8,73,250,39,2022-03-19,"Cattleya",20.4,5
8.2,0,268,31,2022-03-14,"Cattleya",22.9,7
20.7,69,298,39,2022-03-25,"Cambria",21.7,6
16.9,81,253,37,2022-03-17,"Miltoniopsis",18.6,8
3,0,298,33,2022-03-16,"Odontoglossum",19.6,4
14.1,78,250,40,2022-03-06,"Cymbidium",17.4,3
6.5,79,298,36,2022-03-26,"Paphiopedalum",21.2,5
5.6,77,291,40,2022-03-31,"Oncidium",21.2,6
9,76,0,35,2022-03-10,"Cattleya",21.8,4
2.7,83,0,34,2022-03-21,"Odontoglossum",16.9,3
24.6,84,317,38,2022-03-17,"Dendrobium",18.5,6
25,85,301,34,2022-04-06,"Vanda",25.7,7
25.6,62,253,36,2022-03-22,"Vanda",25.9,5
18.5,81,274,37,2022-04-09,"Vanda",24.1,8
12.5,0,253,33,2022-03-12,"Phalaenopsis",24.2,7
16.4,80,282,34,2022-03-16,"Cambria",20.3,6
16.4,100,263,38,2022-04-15,"Phalaenopsis",24,6
13.5,78,309,32,2022-03-31,"Phalaenopsis",24.6,7
16.2,89,295,37,2022-04-06,"Cymbidium",19,8
15.7,0,292,35,2022-03-25,"Phalaenopsis",25.2,8
12.3,71,257,35,2022-04-15,"Miltoniopsis",19.5,4
11.8,72,285,35,2022-04-03,"Miltoniopsis",17.7,8
6.9,88,250,40,2022-03-19,"Oncidium",21,6
14.6,62,284,36,2022-04-03,"Miltoniopsis",19.1,3
29.7,79,284,36,2022-03-18,"Dendrobium",18.5,5
8.6,97,0,39,2022-04-16,"Paphiopedalum",21.7,4
23.2,72,288,34,2022-04-01,"Vanda",27.8,10
6.6,76,283,37,2022-03-19,"Oncidium",21.3,7
13.1,93,300,34,2022-04-07,"Cymbidium",18.3,8
14.3,77,236,34,2022-03-11,"Miltoniopsis",17.1,9
25.8,0,319,35,2022-03-30,"Dendrobium",19.3,10
6,76,230,30,2022-04-20,"Paphiopedalum",20.8,3
5.2,68,241,37,2022-03-23,"Paphiopedalum",22,5
26.1,88,261,33,2022-04-11,"Dendrobium",20.9,9
5.5,62,268,36,2022-04-13,"Oncidium",19.8,6
16.1,69,283,40,2022-03-06,"Cymbidium",20.4,4
19.2,95,258,36,2022-04-08,"Cambria",21.4,9
13.9,0,283,33,2022-03-25,"Cymbidium",18.7,5
8.2,91,306,33,2022-03-11,"Oncidium",21,9
15.8,92,324,40,2022-04-24,"Miltoniopsis",20.2,3
8,0,0,33,2022-03-25,"Paphiopedalum",20.3,7
15.7,72,267,36,2022-03-29,"Cambria",22.6,6
3.3,96,300,39,2022-03-16,"Odontoglossum",18.1,5
26.2,70,248,37,2022-03-10,"Dendrobium",19.1,8
23.7,82,256,39,2022-03-10,"Dendrobium",17.1,4
7.9,89,334,38,2022-03-14,"Cattleya",20.9,7
19.3,77,244,0,2022-04-01,"Vanda",25.5,9
3.9,97,233,38,2022-03-05,"Odontoglossum",19.9,4
24.1,68,273,39,2022-04-05,"Dendrobium",19.5,10
23.5,82,306,39,2022-03-16,"Vanda",28.2,8
14.3,81,287,34,2022-03-16,"Phalaenopsis",26.7,6
23.5,81,0,0,2022-03-14,"Vanda",27.3,7
14.8,76,255,35,2022-03-25,"Miltoniopsis",18.1,7
17.2,84,316,38,2022-03-04,"Miltoniopsis",19.2,8
18.1,71,260,32,2022-03-22,"Vanda",26.5,6
8.6,78,283,37,2022-04-14,"Oncidium",21.5,3
13.5,0,286,35,2022-03-18,"Cymbidium",19.5,7
12.2,94,336,34,2022-03-23,"Miltoniopsis",16.9,5
7.3,87,275,35,2022-04-02,"Paphiopedalum",20.8,7
7,79,273,38,2022-03-24,"Oncidium",20.2,9
13.3,82,295,40,2022-03-13,"Phalaenopsis",27.8,4
7.9,94,258,38,2022-03-18,"Paphiopedalum",20.2,7
22.9,87,283,32,2022-04-04,"Vanda",27.6,9
8,83,289,35,2022-04-07,"Cattleya",21,8
22.1,75,290,39,2022-03-30,"Dendrobium",17.9,7
21.7,71,263,35,2022-03-12,"Vanda",26.9,6
13.6,74,254,42,2022-04-06,"Phalaenopsis",24.4,5
8.9,85,286,33,2022-03-20,"Cattleya",21.9,7
3.5,0,268,34,2022-03-22,"Odontoglossum",20.1,8
9,82,264,36,2022-03-30,"Oncidium",19.8,8
15.1,57,324,34,2022-03-28,"Cymbidium",17.5,7
7.9,0,308,36,2022-03-24,"Cattleya",20.8,5
10.3,87,281,35,2022-03-27,"Miltoniopsis",19.7,8
16,74,251,33,2022-04-04,"Miltoniopsis",17,5
17.9,68,264,0,2022-03-26,"Vanda",26.8,6
6.6,89,286,35,2022-03-13,"Cattleya",20,8
3.4,85,276,39,2022-03-08,"Odontoglossum",19.7,3
3.2,69,248,40,2022-03-05,"Odontoglossum",18.4,2
6.3,69,259,39,2022-03-20,"Oncidium",22.3,6
16.4,91,281,39,2022-03-04,"Miltoniopsis",17.1,8
22.3,69,254,36,2022-03-17,"Dendrobium",18.8,7
7,89,301,0,2022-03-09,"Cattleya",20.1,6
14.9,76,0,33,2022-03-29,"Cymbidium",19.5,7
13,76,223,37,2022-03-18,"Cymbidium",17.8,5
6.3,56,272,38,2022-03-17,"Oncidium",22.3,9
7.7,58,262,0,2022-04-01,"Paphiopedalum",20.4,5
17.7,0,280,33,2022-03-25,"Cymbidium",19.2,10
17.1,62,295,43,2022-03-23,"Miltoniopsis",20.3,7
16.3,71,287,0,2022-03-30,"Phalaenopsis",25.3,7
20.2,0,292,37,2022-03-06,"Cambria",19.9,4
7.9,80,288,0,2022-04-09,"Oncidium",21.3,7
2.5,96,299,40,2022-03-27,"Odontoglossum",16.5,7
15.5,88,298,37,2022-03-27,"Miltoniopsis",16.2,5
15.1,0,281,36,2022-04-06,"Miltoniopsis",16.7,3
14.4,68,320,36,2022-03-27,"Phalaenopsis",24.3,9
18,99,290,36,2022-04-03,"Miltoniopsis",19,3
3.6,83,297,39,2022-03-27,"Odontoglossum",18.6,7
6.5,65,291,39,2022-03-14,"Oncidium",20.5,8
15,75,274,39,2022-03-31,"Phalaenopsis",27.1,8
12.4,92,260,40,2022-03-12,"Phalaenopsis",25.8,8
3.3,78,280,38,2022-03-12,"Odontoglossum",18.8,7
3.3,67,258,43,2022-04-10,"Odontoglossum",17.9,7
19.5,79,0,34,2022-03-08,"Miltoniopsis",17.2,8
12.8,91,291,36,2022-03-15,"Miltoniopsis",19.4,8
18.2,68,319,37,2022-04-10,"Cambria",20.5,5
3.1,93,260,36,2022-03-20,"Odontoglossum",18.7,5
3.2,77,294,37,2022-03-15,"Odontoglossum",19.3,6
3,83,0,35,2022-04-03,"Odontoglossum",18.7,6
13.8,95,280,38,2022-03-16,"Cambria",21.4,5
6,84,277,34,2022-03-13,"Oncidium",20.1,6
16.2,73,258,36,2022-03-08,"Cambria",21,6
4.8,0,290,36,2022-03-19,"Paphiopedalum",20.2,7
13.7,86,0,0,2022-03-16,"Miltoniopsis",16.4,6
16,83,0,32,2022-03-07,"Miltoniopsis",17.3,9
15.1,62,299,36,2022-04-05,"Phalaenopsis",25.6,5
9,68,271,36,2022-04-13,"Cattleya",21,4
22.5,83,284,37,2022-03-09,"Dendrobium",18.1,7
10,75,285,0,2022-04-10,"Cattleya",21.1,5
13.7,0,250,42,2022-04-12,"Miltoniopsis",18,6
9.5,97,0,40,2022-03-21,"Cattleya",21,7
6.7,73,318,37,2022-03-20,"Cattleya",21.5,10
2.9,76,294,41,2022-03-09,"Odontoglossum",18,5
16.1,73,289,41,2022-03-17,"Cambria",22.1,8
3.1,63,238,29,2022-04-01,"Odontoglossum",18.4,7
3.3,70,275,33,2022-04-01,"Odontoglossum",18.9,6
14.6,72,289,40,2022-03-25,"Miltoniopsis",20.3,7
22.7,81,257,36,2022-03-27,"Vanda",26.1,8
19.9,61,275,38,2022-03-29,"Dendrobium",16.6,7
5.6,74,275,35,2022-03-19,"Oncidium",19.6,6
18.7,87,300,0,2022-03-20,"Cambria",21.4,7
7.3,76,332,34,2022-03-03,"Paphiopedalum",22.4,6
16.7,85,286,41,2022-03-18,"Cambria",20.9,6
6.8,85,0,0,2022-03-10,"Oncidium",21,7
7.5,0,254,31,2022-04-14,"Cattleya",20.4,4
25.5,89,281,0,2022-04-08,"Dendrobium",17.6,9
8.5,98,242,37,2022-04-11,"Cattleya",20.6,7
8.1,0,258,33,2022-03-20,"Paphiopedalum",21.8,8
11.5,73,303,31,2022-03-31,"Phalaenopsis",28.5,9
2.7,94,233,0,2022-04-02,"Odontoglossum",16.7,9
12.8,79,300,38,2022-03-23,"Cambria",21,5
13.1,79,0,34,2022-03-28,"Phalaenopsis",28,8
19.9,0,301,36,2022-03-22,"Vanda",23.9,7
10.9,77,255,38,2022-03-06,"Phalaenopsis",24.2,4
24.4,91,270,37,2022-03-24,"Dendrobium",18.1,8
7.6,83,312,36,2022-03-06,"Cattleya",20.9,5
3,87,287,37,2022-04-04,"Odontoglossum",18.7,8
14.9,75,305,36,2022-04-11,"Phalaenopsis",28.2,5
23.6,0,0,35,2022-03-15,"Vanda",26.1,7
7.7,72,326,40,2022-04-06,"Cattleya",21.7,5
14.6,75,0,39,2022-04-06,"Miltoniopsis",20.5,2
21.7,0,279,37,2022-04-08,"Vanda",27.8,7
13,92,302,34,2022-03-19,"Cymbidium",18.3,4
17,88,0,34,2022-03-17,"Phalaenopsis",26.8,5
7.9,79,0,34,2022-03-21,"Oncidium",22.4,9
23.3,73,324,40,2022-03-11,"Vanda",25.1,7
13.2,81,282,0,2022-03-23,"Miltoniopsis",16.9,6
17.7,69,324,0,2022-03-31,"Vanda",25.5,6
11.3,75,293,0,2022-03-28,"Miltoniopsis",20.1,2
19.6,81,313,38,2022-03-30,"Vanda",27.5,9
7.9,72,261,41,2022-04-06,"Paphiopedalum",20,3
7.5,109,0,33,2022-03-20,"Paphiopedalum",20.6,8
23.8,100,261,37,2022-03-19,"Dendrobium",17.6,6
24.5,92,264,34,2022-03-12,"Dendrobium",17.4,5
6.2,78,265,36,2022-04-12,"Cattleya",19.4,6
26.2,70,278,0,2022-03-26,"Dendrobium",16.6,9
19.1,69,256,38,2022-03-27,"Vanda",25.9,6
11,85,0,39,2022-03-19,"Cymbidium",19.4,4
14.3,57,280,39,2022-03-20,"Phalaenopsis",25.8,8
16.7,91,295,38,2022-03-26,"Cymbidium",19.6,5
6.5,98,285,38,2022-03-08,"Cattleya",20.8,6
3.9,0,288,37,2022-03-15,"Odontoglossum",19.7,3
29,91,263,41,2022-04-15,"Dendrobium",17.9,7
13.8,85,298,35,2022-03-15,"Miltoniopsis",18.1,6
16.6,84,296,35,2022-04-13,"Cambria",21.3,8
16.1,69,287,0,2022-03-20,"Miltoniopsis",17,6
15.3,75,296,31,2022-04-02,"Cambria",20.6,8
9.1,67,288,37,2022-03-30,"Paphiopedalum",21.8,9
2.2,0,227,40,2022-03-15,"Odontoglossum",17.3,4
8.7,70,302,37,2022-04-16,"Paphiopedalum",21.9,1
6.4,63,276,39,2022-03-14,"Paphiopedalum",22.2,9
16.2,94,281,38,2022-03-31,"Miltoniopsis",20,3
13.2,79,288,36,2022-03-28,"Cymbidium",19.1,5
14.1,90,314,40,2022-03-04,"Phalaenopsis",25,5
16.7,102,254,35,2022-04-04,"Cymbidium",20,8
12.9,81,279,38,2022-04-02,"Cambria",21.1,10
2.7,82,286,40,2022-04-07,"Odontoglossum",18.2,9
6.8,85,248,36,2022-04-09,"Cattleya",21.2,6
15.8,69,290,35,2022-03-29,"Cymbidium",20.1,5
7.6,69,273,35,2022-03-27,"Cattleya",19.2,8
17,71,296,30,2022-03-27,"Miltoniopsis",19,5
7.7,65,291,39,2022-03-16,"Oncidium",21.2,7
3.5,0,279,33,2022-03-29,"Odontoglossum",16.3,6
17.1,74,294,36,2022-03-06,"Miltoniopsis",18.4,6
15.2,99,330,0,2022-04-07,"Cymbidium",18.4,10
15.3,65,260,36,2022-03-27,"Phalaenopsis",24.9,6
7.3,76,310,33,2022-03-30,"Paphiopedalum",20.4,4
6,80,259,39,2022-03-30,"Oncidium",20.2,6
14.2,72,280,37,2022-03-30,"Cymbidium",17.3,6
24.1,83,303,0,2022-03-05,"Vanda",24.7,4
16.5,100,279,37,2022-03-31,"Cymbidium",18.5,7
7.6,79,295,33,2022-03-20,"Paphiopedalum",20.4,5
8.9,70,282,38,2022-04-06,"Paphiopedalum",22.3,6
21.3,81,297,36,2022-03-20,"Vanda",27,8
9.6,66,0,34,2022-04-04,"Cattleya",21,5
19.4,66,257,38,2022-03-20,"Vanda",24.5,7
2.9,81,270,37,2022-03-22,"Odontoglossum",16.5,7
7.5,61,266,33,2022-04-05,"Oncidium",22,5
26.2,91,280,38,2022-03-04,"Dendrobium",19.5,5
9.9,85,294,37,2022-03-25,"Cattleya",21.9,7
15.9,76,260,0,2022-03-30,"Miltoniopsis",18.7,5
23.6,69,345,0,2022-03-22,"Vanda",24.8,6
8.4,100,271,39,2022-04-01,"Paphiopedalum",22.5,4
13.9,76,291,39,2022-03-09,"Miltoniopsis",19.6,5
19.8,51,273,32,2022-03-21,"Cambria",22.2,6
3,82,293,0,2022-04-20,"Odontoglossum",19.5,5
22,83,317,34,2022-03-12,"Vanda",23.2,5
14,76,0,39,2022-04-01,"Cymbidium",19.3,9
19.6,86,258,34,2022-03-30,"Vanda",26.1,6
5.7,0,270,41,2022-03-25,"Oncidium",20.2,9
7,86,250,40,2022-03-17,"Paphiopedalum",22.6,7
8,77,285,0,2022-03-24,"Cattleya",21.8,9
28,87,0,39,2022-04-11,"Dendrobium",18.3,8
16.1,87,302,41,2022-04-11,"Miltoniopsis",18.7,6
24.1,72,279,37,2022-04-02,"Dendrobium",18.6,8
2.8,72,306,40,2022-04-03,"Odontoglossum",16.9,8
19.7,73,252,37,2022-04-01,"Cambria",20.8,8
17.7,75,310,38,2022-03-18,"Vanda",25.4,6
3.2,79,274,34,2022-04-03,"Odontoglossum",20.2,6
8.2,79,298,38,2022-03-22,"Paphiopedalum",21.2,5
8,85,297,0,2022-03-03,"Cattleya",22.4,7
25.6,77,281,34,2022-03-21,"Dendrobium",18.6,6
12.9,0,244,35,2022-03-25,"Cymbidium",19.3,6
30.8,64,285,32,2022-03-16,"Dendrobium",17.2,6
3.3,74,238,38,2022-03-18,"Odontoglossum",19.5,7
21.1,89,0,43,2022-03-22,"Dendrobium",16.8,7
19,73,262,36,2022-04-13,"Cambria",20.9,9
6.3,96,288,38,2022-04-03,"Oncidium",20.7,9
13,82,313,39,2022-03-21,"Phalaenopsis",24,6
19.1,76,230,38,2022-04-01,"Vanda",26.8,5
20,90,0,38,2022-03-27,"Vanda",27.5,9
7.8,88,291,0,2022-04-21,"Cattleya",19.8,3
7,107,277,34,2022-03-12,"Oncidium",22.6,5
26.1,69,244,37,2022-03-28,"Dendrobium",19.1,9
8.6,74,266,35,2022-03-30,"Cattleya",21,7
17.3,66,0,0,2022-03-20,"Phalaenopsis",28.1,6
2.6,0,335,38,2022-03-20,"Odontoglossum",17.2,7
20.3,0,276,35,2022-03-21,"Dendrobium",18.2,5
17.6,85,269,40,2022-03-24,"Phalaenopsis",26.6,6
21.7,0,246,0,2022-03-31,"Cambria",21,6
16.2,90,260,40,2022-03-24,"Miltoniopsis",16.8,6
3,90,278,35,2022-03-16,"Odontoglossum",17.6,6
16.5,0,0,38,2022-03-26,"Cambria",21.4,6
11,71,259,31,2022-03-13,"Cymbidium",17.9,5
7.3,85,294,35,2022-04-03,"Cattleya",20,8
7.8,0,299,36,2022-03-14,"Paphiopedalum",20.4,7
18.3,62,246,38,2022-03-08,"Phalaenopsis",28.3,4
18.4,69,305,35,2022-04-02,"Cambria",21.2,7
21.8,91,272,36,2022-03-28,"Cambria",21.8,7
24.4,82,287,36,2022-04-15,"Dendrobium",20.3,7
12.7,84,310,35,2022-03-18,"Miltoniopsis",18.2,6
19.4,68,291,38,2022-04-04,"Cambria",19.2,6
21.4,78,277,36,2022-04-15,"Vanda",27.4,8
15.3,71,266,33,2022-04-08,"Phalaenopsis",24,7
14.8,92,239,39,2022-03-18,"Miltoniopsis",20.1,5
21,78,280,0,2022-03-26,"Vanda",24,7
4.4,85,292,35,2022-03-17,"Paphiopedalum",19.7,9
13.4,73,312,39,2022-03-27,"Miltoniopsis",17.6,7
2.6,0,0,35,2022-03-15,"Odontoglossum",19.3,5
2.4,81,259,35,2022-03-13,"Odontoglossum",17.1,5
17.5,69,270,38,2022-04-15,"Miltoniopsis",18,5
27.2,82,301,39,2022-04-17,"Dendrobium",18.9,9
2.6,64,311,39,2022-03-07,"Odontoglossum",17.6,4
28.5,78,234,38,2022-03-26,"Dendrobium",17.8,9
18.7,73,290,36,2022-03-30,"Vanda",24.3,5
8.4,102,241,38,2022-04-03,"Paphiopedalum",21.6,4
10.6,77,285,33,2022-04-14,"Cymbidium",16.6,9
32.8,68,250,42,2022-04-14,"Dendrobium",19.3,7
7.8,70,261,35,2022-04-03,"Oncidium",22.7,4
6.7,89,257,39,2022-03-10,"Oncidium",21.3,5
8.7,102,304,37,2022-03-17,"Cattleya",21.1,5
3.4,86,281,36,2022-03-18,"Odontoglossum",16.7,7
3.2,87,283,35,2022-04-23,"Odontoglossum",18.6,6
12.3,70,252,36,2022-03-26,"Cymbidium",18.6,6
15.1,73,252,37,2022-03-26,"Phalaenopsis",25.3,7
16.7,74,322,42,2022-03-13,"Vanda",25.7,8
4.1,83,287,36,2022-04-15,"Odontoglossum",20.3,5
14.2,77,0,40,2022-03-26,"Miltoniopsis",19,6
6.4,71,285,38,2022-03-27,"Cattleya",21.3,9
24.1,80,307,38,2022-03-23,"Vanda",26,7
2.5,72,0,36,2022-03-27,"Odontoglossum",16.5,9
9.3,0,267,37,2022-04-10,"Paphiopedalum",19.9,5
16.8,77,291,39,2022-03-10,"Cymbidium",19.1,3
17.1,84,345,36,2022-03-21,"Phalaenopsis",24.3,6
3.3,70,275,39,2022-03-17,"Odontoglossum",18.7,7
16.3,76,290,35,2022-04-21,"Phalaenopsis",25.8,6
16.1,84,270,39,2022-03-15,"Vanda",26.4,6
5.8,73,0,38,2022-03-17,"Oncidium",21.3,6
4.8,76,269,33,2022-03-11,"Oncidium",19.9,6
22.5,67,247,36,2022-03-14,"Vanda",24.2,5
20.9,89,273,38,2022-04-14,"Cambria",20,4
7.3,0,231,37,2022-03-14,"Cattleya",22,10
14.6,73,0,36,2022-03-10,"Cambria",21.7,4
